Name/nickname:,Feedback?,Total distance:,Average power:,0 seconds,5 seconds,10 seconds,15 seconds,20 seconds,25 seconds,30 seconds
Participant 18 (F),No feedback,94.8,65.2,33.1,65,95.9,100.2,104.1,103.6,103.6
Participant 18 (F),No feedback,96.1,67.7,37.5,62.4,100.2,103.6,106.8,102.1,100.2
Participant 18 (F),Feedback,101.3,78.4,40.1,71.7,103.9,107.3,104.6,106.5,103.4
Participant 18 (F),Feedback,102.1,74.6,39.8,62.3,99,104.2,103.7,103,101.2
Participant 19 (F),No feedback,83.2,61.4,25.1,59.4,67.9,83.9,92.4,84.1,86.5
Participant 19 (F),No feedback,87.4,77.3,28.1,70.4,85.2,82.8,92,80.1,73.6
Participant 19 (F),Feedback,93.5,80.4,31.4,83.5,91.9,90,91.2,84.3,87.1
Participant 19 (F),Feedback,92,79.3,30.3,84.8,88.1,88.4,85.1,86.7,80.5
Pariticpant 20 (M),No feedback,122.5,172.3,84.3,140.9,257.2,260,258.1,254.8,250.2
Pariticpant 20 (M),No feedback,120.1,178.3,80.7,157,262.4,270.3,254.1,252.9,247
Pariticpant 20 (M),Feedback,129.7,190.3,93.5,179.4,280.4,288.8,290.5,287,285.6
Pariticpant 20 (M),Feedback,128,188.4,90.1,156.2,270.9,284,288.1,289.3,280.7
